,Year,Cocoa,"Coffee, Arabica","Coffee, Robusta","Tea, avg ","Beverages,average",Coconut oil,Groundnut oil,Palm oil,Soybean oil,Soybean meal,Soybeans,"Oil & Meals,average",Barley,Maize,"Rice, Thai 5% ","Wheat, US HRW",Grains,"Banana, US",Orange,Beef,"Meat, chicken","Sugar, EU","Sugar, US","Sugar, world","OtherFood,average"
0,1960-01,0.634,0.9409,0.6968643,1.0297,0.825366075,390.0,334.0,233.0,204.0,91.9,94.0,224.48333333333335,20.3648003946188,45.0,104.45,59.89,57.426200098654704,0.14308,0.1151,0.7055,0.297368791942293,0.12235641,0.11684486,0.0666,0.2238357231346133
1,1960-02,0.608,0.9469,0.6887074,1.0297,0.81832685,379.0,341.0,229.0,201.0,86.7,91.0,221.28333333333333,20.41046354993,44.0,103.54,60.99,57.23511588748251,0.14308,0.1092,0.7121,0.297424546788658,0.12235641,0.11904948,0.0679,0.22444434811266545
2,1960-03,0.5789,0.9281,0.6887074,1.0297,0.80635185,361.0,338.0,225.0,201.0,84.1,92.0,216.85,20.7181748629099,45.0,103.79,61.73,57.80954371572748,0.14308,0.1319,0.7694,0.297834043991787,0.12235641,0.1212541,0.0683,0.23630350771311243
3,1960-04,0.5983,0.9303,0.6845187,1.0297,0.810704675,338.0,333.0,225.0,207.0,86.7,93.0,213.78333333333333,20.6380363552508,45.0,100.97,60.99,56.89950908881271,0.14308,0.1363,0.8378,0.299021482688387,0.12235641,0.12345872,0.0681,0.24715951609834103
4,1960-05,0.6001,0.92,0.6906915,1.0297,0.810122875,321.0,335.0,225.0,209.0,81.5,93.0,210.75,20.6060558285204,48.0,102.15,57.69,57.1115139571301,0.149,0.1444,0.7562,0.299031477537672,0.12235641,0.1212541,0.0683,0.23722028393395314
5,1960-06,0.5944,0.9123,0.6968643,1.0297,0.808316075,287.0,334.0,219.0,218.0,80.3,91.0,204.88333333333333,20.1265358209953,47.0,103.13,55.48,56.43413395524882,0.149,0.1385,0.7077,0.299643121368113,0.12235641,0.12566334,0.0666,0.22992326733830187
6,1960-07,0.6045,0.916,0.6906915,1.0297,0.810222875,298.0,336.0,221.0,224.0,77.7,92.0,208.11666666666667,20.0377857483815,47.0,102.05,54.75,55.95944643709537,0.149,0.1292,0.7474,0.300024030530337,0.12235641,0.1322772,0.0728,0.23615109150433386
7,1960-08,0.5882,0.9292,0.6988484,1.0297,0.8114871,292.0,336.0,225.0,237.0,77.7,93.0,210.11666666666667,20.133178932286,47.0,109.71,55.12,57.990794733071496,0.12699,0.1292,0.7826,0.300828398810988,0.12235641,0.12786796,0.0741,0.23770610983014118
8,1960-09,0.5827,0.9226,0.7028166,1.0297,0.8094541500000001,276.0,323.0,224.0,231.0,82.8,92.0,204.79999999999998,20.2604146229523,46.0,116.1,56.59,59.73760365573808,0.138,0.1292,0.8091,0.302455764624084,0.12235641,0.1322772,0.0725,0.24369848208915487
9,1960-10,0.5858,0.9237,0.7067849,1.0297,0.8114962250000001,280.0,310.0,222.0,237.0,75.1,88.0,202.01666666666665,19.722910320703,42.0,115.21,56.95,58.47072758017575,0.1541,0.1292,0.7099,0.302003900831539,0.12235641,0.13007258,0.0538,0.22877612726164845
