,Year,"Logs, Malaysian","Sawnwood, Malaysian",Cotton,"Rubber, SGP/MYS",Raw Materials avg,Aluminum,Iron ore,Copper,Lead,Tin,Nickel,Zinc,"Metals & Minerals,avg",Gold,Platinum,Silver,Precious metals,Phosphate rock,DAP,TSP,Urea ,Potassium chloride,Fertilizers
0,1960-01,31.94,149.174978366205,0.6486,0.8223,45.64646959155125,511.471832275391,11.42,715.4,206.1,2180.4,1631.0,260.8,788.084547467913,35.27,83.5,0.9137,39.89456666666667,13.0,1e-10,53.0,42.25,28.5,27.350000000019996
1,1960-02,31.94,149.174978366205,0.6453,0.8289,45.64729459155125,511.471832275391,11.42,728.19,203.7,2180.4,1631.0,244.9,787.2974046107702,35.27,83.5,0.9137,39.89456666666667,13.0,1e-10,53.0,42.25,28.5,27.350000000019996
2,1960-03,31.94,149.174978366205,0.6464,0.8576,45.65474459155125,511.471832275391,11.42,684.94,210.3,2173.8,1631.0,248.7,781.6616903250559,35.27,83.5,0.9137,39.89456666666667,13.0,1e-10,53.0,42.25,28.5,27.350000000019996
3,1960-04,31.94,149.174978366205,0.6435,0.8642,45.65566959155125,511.471832275391,11.42,723.11,213.6,2178.2,1631.0,254.6,789.0574046107702,35.27,83.5,0.9137,39.89456666666667,13.0,1e-10,53.0,42.25,28.5,27.350000000019996
4,1960-05,31.94,149.174978366205,0.6468,0.9281,45.672469591551256,511.471832275391,11.42,684.75,213.4,2162.7,1631.0,253.8,781.2202617536274,35.27,83.5,0.9137,39.89456666666667,13.0,1e-10,53.0,42.25,28.5,27.350000000019996
5,1960-06,31.94,149.174978366205,0.6559,0.8929,45.66594459155125,511.471832275391,11.42,691.59,202.4,2184.8,1631.0,249.8,783.211690325056,35.27,83.5,0.9137,39.89456666666667,13.0,1e-10,53.0,42.25,28.5,27.350000000019996
6,1960-07,31.94,149.174978366205,0.6572,0.787,45.63979459155125,511.471832275391,11.42,702.39,196.2,2248.7,1631.0,248.7,792.8402617536273,35.27,83.5,0.9137,39.89456666666667,13.0,1e-10,53.0,42.25,28.5,27.350000000019996
7,1960-08,31.94,149.174978366205,0.6534,0.7209,45.62231959155125,511.471832275391,11.42,675.94,195.3,2204.6,1631.0,241.0,781.5331188964844,35.27,83.5,0.9137,39.89456666666667,13.0,1e-10,53.0,42.25,28.5,27.350000000019996
8,1960-09,31.94,149.174978366205,0.6618,0.7275,45.62606959155125,511.471832275391,11.42,647.06,192.7,2226.7,1631.0,240.1,780.064547467913,35.27,83.5,0.9137,39.89456666666667,13.0,1e-10,53.0,42.25,28.5,27.350000000019996
9,1960-10,31.94,149.174978366205,0.6656,0.6856,45.61654459155125,511.471832275391,11.42,612.66,185.2,2226.7,1631.0,242.3,774.3931188964845,35.27,83.5,0.9137,39.89456666666667,13.0,1e-10,53.0,42.25,28.5,27.350000000019996
10,1960-11,31.94,149.174978366205,0.6651,0.6283,45.60209459155125,511.471832275391,11.42,642.13,188.1,2204.6,1631.0,241.4,775.7316903250558,35.27,83.5,0.9137,39.89456666666667,13.0,1e-10,53.0,42.25,28.5,27.350000000019996
11,1960-12,31.94,149.174978366205,0.6649,0.6195,45.599844591551246,511.471832275391,11.42,636.91,179.2,2189.2,1631.0,228.2,769.6288331821987,35.27,83.5,0.9137,39.89456666666667,13.0,1e-10,53.0,42.25,28.5,27.350000000019996
12,1961-01,33.06,151.977280787652,0.6636,0.5997,46.575145196913006,511.471832275391,11.02,606.71,175.9,2162.7,1711.0,218.0,770.9716903250558,35.25,83.5,0.9137,39.8879,13.0,1e-10,52.0,42.25,30.0,27.450000000019998
13,1961-02,33.06,151.977280787652,0.6784,0.5754,46.572770196913005,511.471832275391,11.02,616.63,179.9,2187.0,1711.0,228.2,777.8888331821988,35.25,83.5,0.9137,39.8879,13.0,1e-10,52.0,42.25,30.0,27.450000000019998
